University,Scholarship,Scholarship_Type,Conditions,Scholarship_Value,Source
มหาวิทยาลัยมหิดล (แพทยศาสตร์ศิริราช/รามา),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนต่อเนื่อง,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาชั้นปีที่ 2 ขึ้นไป ทุกสาขาวิชา ไม่ใช่ชั้นปีสุดท้าย เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย),"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (แพทยศาสตร์ศิริราช/รามา),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนรายปี,ทุนขาดแคลนทุนทรัพย์ (ทุนรายปี ระดับปริญญาตรี),เป็นนักศึกษาทุกชั้นปี ทุกสาขาวิชา เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย) รับสมัครช่วงสิงหาคม-กันยายนของทุกปี,"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (ทันตแพทย์/เภสัช/สัตวแพทย์),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนต่อเนื่อง,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาชั้นปีที่ 2 ขึ้นไป ทุกสาขาวิชา ไม่ใช่ชั้นปีสุดท้าย เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย),"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (ทันตแพทย์/เภสัช/สัตวแพทย์),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนรายปี,ทุนขาดแคลนทุนทรัพย์ (ทุนรายปี ระดับปริญญาตรี),เป็นนักศึกษาทุกชั้นปี ทุกสาขาวิชา เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย) รับสมัครช่วงสิงหาคม-กันยายนของทุกปี,"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (วิศวะ/วิทย์/ICT),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนต่อเนื่อง,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาชั้นปีที่ 2 ขึ้นไป ทุกสาขาวิชา ไม่ใช่ชั้นปีสุดท้าย เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย),"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (วิศวะ/วิทย์/ICT),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนรายปี,ทุนขาดแคลนทุนทรัพย์ (ทุนรายปี ระดับปริญญาตรี),เป็นนักศึกษาทุกชั้นปี ทุกสาขาวิชา เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย) รับสมัครช่วงสิงหาคม-กันยายนของทุกปี,"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (ศิลปศาสตร์/สังคม/บริหาร),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนต่อเนื่อง,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาชั้นปีที่ 2 ขึ้นไป ทุกสาขาวิชา ไม่ใช่ชั้นปีสุดท้าย เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย),"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (ศิลปศาสตร์/สังคม/บริหาร),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนรายปี,ทุนขาดแคลนทุนทรัพย์ (ทุนรายปี ระดับปริญญาตรี),เป็นนักศึกษาทุกชั้นปี ทุกสาขาวิชา เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย) รับสมัครช่วงสิงหาคม-กันยายนของทุกปี,"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (MUIC - หลักสูตรนานาชาติ),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนต่อเนื่อง,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาชั้นปีที่ 2 ขึ้นไป ทุกสาขาวิชา ไม่ใช่ชั้นปีสุดท้าย เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย),"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (MUIC - หลักสูตรนานาชาติ),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนรายปี,ทุนขาดแคลนทุนทรัพย์ (ทุนรายปี ระดับปริญญาตรี),เป็นนักศึกษาทุกชั้นปี ทุกสาขาวิชา เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย) รับสมัครช่วงสิงหาคม-กันยายนของทุกปี,"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (บัณฑิตศึกษาไทย),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนต่อเนื่อง,ทุนขาดแคลนทุนทรัพย์ (ทุนต่อเนื่อง ระดับปริญญาตรี),เป็นนักศึกษาชั้นปีที่ 2 ขึ้นไป ทุกสาขาวิชา ไม่ใช่ชั้นปีสุดท้าย เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย),"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยมหิดล (บัณฑิตศึกษาไทย),ทุนการศึกษามหาวิทยาลัยมหิดลสำหรับนักศึกษาที่ขาดแคลนทุนทรัพย์ - ประเภททุนรายปี,ทุนขาดแคลนทุนทรัพย์ (ทุนรายปี ระดับปริญญาตรี),เป็นนักศึกษาทุกชั้นปี ทุกสาขาวิชา เกรดเฉลี่ยสะสมไม่ต่ำกว่า 2.25 (ถ้าต่ำกว่า 2.25 แต่ไม่น้อยกว่า 2.00 ต้องมีผลงานสร้างชื่อเสียงให้มหาวิทยาลัย) รับสมัครช่วงสิงหาคม-กันยายนของทุกปี,"50,000 บาทต่อปีการศึกษา",https://op.mahidol.ac.th/sa/scholarship-mu/
มหาวิทยาลัยธรรมศาสตร์ (แพทยศาสตร์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (แพทยศาสตร์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (ทันตแพทย์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (ทันตแพทย์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (เภสัชศาสตร์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (เภสัชศาสตร์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (วิศวกรรมศาสตร์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (วิศวกรรมศาสตร์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (วิทยาศาสตร์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (วิทยาศาสตร์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (พาณิชยศาสตร์/เศรษฐศาสตร์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (พาณิชยศาสตร์/เศรษฐศาสตร์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (นิติศาสตร์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (นิติศาสตร์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (รัฐศาสตร์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (รัฐศาสตร์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (วารสาร/สื่อสารมวลชน),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (วารสาร/สื่อสารมวลชน),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (ศิลปศาสตร์),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (ศิลปศาสตร์),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (BBA นานาชาติ - TBS),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (BBA นานาชาติ - TBS),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (BE Econ นานาชาติ),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (BE Econ นานาชาติ),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยธรรมศาสตร์ (IMBA นานาชาติ),ทุนการศึกษา/ทุนกู้ยืมเพื่อการศึกษา กองกิจการนักศึกษา มธ.,ทุนสนับสนุนการศึกษา / ทุนกู้ยืมเพื่อการศึกษา (Education Fee Fund),บริการทุนการศึกษาและทุนกู้ยืมเพื่อการศึกษาสำหรับนักศึกษา ดูแลโดยกองกิจการนักศึกษา มหาวิทยาลัยธรรมศาสตร์,ตามประกาศแต่ละทุน,https://sa.tu.ac.th/
มหาวิทยาลัยธรรมศาสตร์ (IMBA นานาชาติ),ทุน POSCO Asian Fellowship,ทุนสนับสนุนการศึกษาจากแหล่งทุนภายนอก (มอบผ่านคณะ),สำหรับนักศึกษาชั้นปีที่ 2-4 (ตามประกาศคณะวิทยาการเรียนรู้และศึกษาศาสตร์ ปีการศึกษา 2567),ตามประกาศของแหล่งทุน,https://lsed.tu.ac.th/scholarships
มหาวิทยาลัยเกษตรศาสตร์ (สัตวแพทย์/วนศาสตร์),ทุนอุดหนุนการศึกษา กองกิจการนิสิต มก.,ทุนอุดหนุนการศึกษา / ทุนสวัสดิการนิสิต,กองกิจการนิสิตจัดบริการและสวัสดิการทุนการศึกษาแก่นิสิต รวมถึงการรับสมัครทุนอุดหนุนการศึกษาสำหรับนิสิต (ยื่นแบบแสดงความจำนงพร้อมใบเสร็จ KU2/ใบแจ้งหนี้ KU9),ตามประกาศแต่ละทุน,https://sa1.ku.ac.th/
